approach,scenarioId,iteration,duration(nanosec),evl,etl,egx
ModelFlow,6,2,5627198,1484158,1121105,2988915
ModelFlow,6,3,5595341,1529577,1133206,2899428
ModelFlow,6,4,5708571,1423158,1243448,3007301
ModelFlow,6,5,7608106,1986050,1506621,4057069
ModelFlow,6,6,6504172,1667342,1292638,3503449
ModelFlow,6,7,5905975,1596176,1124335,3150860
ModelFlow,6,8,5477762,1432216,1089626,2922314
ModelFlow,6,9,5561277,1443148,1059416,3026420
ModelFlow,6,10,6377018,1671152,1402407,3237490
ModelFlow,6,11,5791726,1448682,1094602,3215110
ModelFlow,6,12,5906194,1552530,1249007,3070211
ModelFlow,6,13,6127404,1633886,1381965,3075953
ModelFlow,6,14,6325505,1558447,1233985,3488373
ModelFlow,6,15,6134593,1557381,1207212,3332046
ModelFlow,6,16,6296727,1607990,1257838,3393134
ModelFlow,6,17,5375054,1427921,1070767,2843133
ModelFlow,6,18,6274447,1608408,1264033,3363888
ModelFlow,6,19,6960891,1708415,1271530,3941338
ModelFlow,7,0,6572330,1759250,1417108,3354421
ModelFlow,7,1,6269173,1596644,1253082,3381755
ModelFlow,7,2,5841765,1458819,1131271,3216586
ModelFlow,7,3,6278720,1618389,1290598,3330286
ModelFlow,7,4,6230710,1539125,1241249,3409201
ModelFlow,7,5,5563658,1510342,1113199,2907478
ModelFlow,7,6,5393337,1409550,1067770,2883788
ModelFlow,7,7,5334800,1296230,1093084,2913280
ModelFlow,7,8,6094728,1505172,1210497,3342464
ModelFlow,7,9,6318583,1516607,1240901,3522999
ModelFlow,7,10,5447232,1407174,1090294,2912485
ModelFlow,7,11,6269983,1534824,1269008,3427080
ModelFlow,7,12,6419145,1627401,1256416,3493456
ModelFlow,7,13,5554720,1395747,1110095,3015180
ModelFlow,7,14,5532741,1470075,1088737,2938464
ModelFlow,7,15,5485725,1458419,1080394,2872737
ModelFlow,7,16,5240926,1338089,1046297,2834312
ModelFlow,7,17,6262662,1554428,1277065,3404116
ModelFlow,7,18,6135802,1526893,1232896,3348178
ModelFlow,7,19,5503258,1418515,1077636,2983170
